battle_time,game_mode,team_tag,team_name,team_cards,team_crowns,team_trophies,team_avg_level,opponent_tag,opponent_name,opponent_cards,opponent_crowns,opponent_trophies,opponent_avg_level,result,collected_at,team_evolved_cards,team_hero_cards,opponent_evolved_cards,opponent_hero_cards,team_tower_troop,opponent_tower_troop,team_elixir_leaked,opponent_elixir_leaked,team_ambiguous_cards,opponent_ambiguous_cards
20260728T094527.000Z,riverRacePvP,822CLLLLQ,,Wizard;Bowler;Tombstone;Princess;Giant Skeleton;Clone;Bat;The Log,0,,,9UGGQGV0V,libertango,Furnace;Royal Giant;Boss Bandit;Magic Archer;Zap;Sparky;Vines;Dart Goblin,1,,,Loss,2026-07-29T18:16:06.783779+00:00,,,,,,,,,,
20260726T152212.000Z,PvP,P8LPVRURU,,Firecracker;Princess;Lumberjack;P.E.K.K.A;Battle Healer;Mirror;Arrows;Mortar,3,,,20GV00RUP0,halid,Electro Dragon;Inferno Dragon;Firecracker;Elite Barbarian;Elixir Golem;Arrows;Battle Healer;Rage,0,,,Win,2026-07-29T18:16:11.473287+00:00,,,,,,,,,,
20260729T173944.000Z,PvP,VRL02GRYU,,Barbarian;Golden Knight;Lumberjack;Royal Hogs;Minion;Baby Dragon;Inferno Dragon;Poison,0,,,VL0Y0G9U0,Fixli 326,Witch;Inferno Dragon;Barbarian;Skeleton Army;Bomber;Baby Dragon;Flying Machine;Bat,1,,,Loss,2026-07-29T18:16:18.468253+00:00,,,,,,,,,,
20260727T201948.000Z,PvP,8JYCRJQ2,,Skeleton Army;Skeleton King;Skeleton Barrel;The Log;Goblin Barrel;Ice Spirit;Rascals;Dart Goblin,2,,,29ULJY8RR,mehmetkasapoglu,Wizard;Mega Minion;Golden Knight;Goblin Barrel;Goblin Gang;Arrows;Princess;Electro Wizard,0,,,Win,2026-07-29T18:16:28.591901+00:00,,,,,,,,,,
20260728T151912.000Z,PvP,9U880J2J,,Executioner;Ice Golem;Firecracker;Giant;Rocket;Goblins;Tornado;Mini P.E.K.K.A,0,,,P0VG8YLJQ,Mjk,Mega Knight;Boss Bandit;Wizard;Mirror;Skeleton Barrel;Zap;Battle Ram;Firecracker,3,,,Loss,2026-07-29T19:14:02.274481+00:00,,,,,,,,,,
20260729T022623.000Z,PvP,JVCJJUQQ8,,Witch;Mini P.E.K.K.A;Mega Knight;Knight;Dart Goblin;Fireball;Firecracker;The Log,0,,,VRLP228PP,CheekyCiri,Inferno Dragon;Bomber;Goblin Cage;Dark Prince;Electro Giant;Lightning;Tornado;Mother Witch,1,,,Loss,2026-07-29T19:14:06.474148+00:00,,,,,,,,,,
20260729T112228.000Z,PvP,J09PVJPUR,,Mega Knight;Tesla;Magic Archer;Ronin;The Log;Wizard;Ram Rider;Goblin Demolisher,0,,,V98LG92R8,lolidu,Archer;Mini P.E.K.K.A;Skeleton Army;Goblin Barrel;The Log;Mega Knight;Electro Wizard;Tombstone,1,,,Loss,2026-07-29T19:15:40.841484+00:00,,,,,,,,,,
20260725T143539.000Z,trail,2YP9UPPLQ,,Ronin;Bandit;Firecracker;Rascals;Zappies;Electro Wizard;Hunter;Arrows,3,,,CU0UGUYJC,ibzz,Skeleton Barrel;Knight;Firecracker;Mortar;Fisherman;Royal Giant;Poison;Arrows,0,,,Win,2026-07-29T19:15:45.144955+00:00,,,,,,,,,,
20260728T052023.000Z,PvP,VYVCVRVG8,,Witch;Knight;Sparky;Princess;Bat;Berserker;Barbarian Barrel;Skeleton Army,3,,,20PPYPG0VY,FreshHacker✝,Golem;Baby Dragon;Prince;Elixir Collector;Mega Minion;Zap;Tornado;Dark Prince,1,,,Win,2026-07-29T19:17:21.028837+00:00,,,,,,,,,,
20260728T100319.000Z,PvP,2Y8YLJ0PP,,Executioner;Wizard;Boss Bandit;Firecracker;Baby Dragon;Tombstone;Ronin;Mega Knight,1,,,P9U02VP9G,kirby,Zap;Knight;Hunter;P.E.K.K.A;Arrows;Guard;Royal Hogs;Magic Archer,0,,,Win,2026-07-29T19:17:25.117736+00:00,,,,,,,,,,
20260729T191246.000Z,PvP,222P099JU2,,Golem;Baby Dragon;Prince;Mega Minion;Tornado;Zap;Elixir Collector;Dark Prince,3,,,RR2PC0G0R,nigeria,Tesla;Firecracker;Mighty Miner;Goblin Barrel;Hog Rider;Skeleton Army;Arrows;Princess,2,,,Win,2026-07-29T19:19:04.217584+00:00,,,,,,,,,,
