card_name,times_used,wins,win_rate,presence_rate,elixir
Firecracker,12798918,6369396.0,0.4977,0.34881,3.0
Arrows,11706695,5871959.0,0.5016,0.31904,3.0
The Log,10995278,5434802.0,0.4943,0.29965,2.0
Fireball,8492330,4270331.0,0.5028,0.23144,4.0
Hog Rider,8420792,4153600.0,0.4933,0.22949,4.0
Knight,7662421,3858644.0,0.5036,0.20882,3.0
Mega Knight,7356323,3598266.0,0.4891,0.20048,7.0
Zap,7070565,3572887.0,0.5053,0.19269,2.0
Mini P.E.K.K.A,6684874,3324155.0,0.4973,0.18218,4.0
Tornado,6513347,3308673.0,0.508,0.17751,3.0
Goblin Gang,6231059,3154677.0,0.5063,0.16981,3.0
Bat,5847367,2897192.0,0.4955,0.15936,2.0
Barbarian Barrel,5014451,2661466.0,0.5308,0.13666,2.0
Ice Spirit,4857678,2405464.0,0.4952,0.13239,1.0
Valkyrie,4828403,2228833.0,0.4616,0.13159,4.0
Skeleton,4698554,2312175.0,0.4921,0.12805,1.0
Electro Wizard,4459439,2222167.0,0.4983,0.12153,4.0
Rage,3899852,1981172.0,0.508,0.10628,2.0
Inferno Dragon,3682372,1882895.0,0.5113,0.10035,4.0
Poison,3545767,1785002.0,0.5034,0.09663,4.0
Skeleton Barrel,3529675,1810509.0,0.5129,0.09619,3.0
Skeleton Army,3506003,1679660.0,0.4791,0.09555,3.0
Lumberjack,3468085,1774280.0,0.5116,0.09451,4.0
Goblin Barrel,3426761,1635603.0,0.4773,0.09339,3.0
Goblins,3380316,1790851.0,0.5298,0.09212,2.0
Barbarian,3323898,1757846.0,0.5289,0.09059,5.0
Musketeer,3186387,1572254.0,0.4934,0.08684,4.0
Balloon,3130653,1585913.0,0.5066,0.08532,5.0
Miner,3123446,1523232.0,0.4877,0.08512,3.0
Night Witch,3025502,1544547.0,0.5105,0.08245,4.0
Lightning,2976914,1498169.0,0.5033,0.08113,6.0
Bandit,2925160,1488152.0,0.5087,0.07972,3.0
Tesla,2890759,1359535.0,0.4703,0.07878,4.0
Earthquake,2726345,1402618.0,0.5145,0.0743,3.0
Wall Breakers,2655966,1317266.0,0.496,0.07238,2.0
Tombstone,2589081,1349417.0,0.5212,0.07056,3.0
Dark Prince,2559505,1306464.0,0.5104,0.06975,4.0
Dart Goblin,2512168,1218308.0,0.485,0.06846,3.0
Baby Dragon,2470194,1238440.0,0.5014,0.06732,4.0
Royal Recruits,2447216,1273573.0,0.5204,0.06669,7.0
P.E.K.K.A,2440716,1183888.0,0.4851,0.06652,7.0
Minion,2424812,1207876.0,0.4981,0.06608,3.0
Inferno Tower,2404449,1162421.0,0.4834,0.06553,5.0
Cannon,2325291,1125179.0,0.4839,0.06337,3.0
Bomb Tower,2322924,1174525.0,0.5056,0.06331,4.0
Witch,2227933,997303.0,0.4476,0.06072,5.0
Executioner,2167241,1051316.0,0.4851,0.05906,5.0
Sparky,2166569,1115181.0,0.5147,0.05905,6.0
Wizard,2123795,942556.0,0.4438,0.05788,5.0
Electro Dragon,2122560,1096380.0,0.5165,0.05785,5.0
Prince,2100924,1026115.0,0.4884,0.05726,5.0
Princess,2072605,997317.0,0.4812,0.05648,3.0
Electro Spirit,2043892,1045397.0,0.5115,0.0557,1.0
