card_a,card_b,co_occurrence,win_rate_together
Hog Rider,The Log,669871,0.5242
Ice Spirit,The Log,631142,0.5237
Hog Rider,Ice Spirit,586208,0.5255
Firecracker,Hog Rider,503949,0.5303
Firecracker,The Log,480064,0.532
Earthquake,The Log,440336,0.532
Earthquake,Hog Rider,436165,0.533
Knight,Tornado,430400,0.5229
Earthquake,Firecracker,417308,0.5349
Skeleton,The Log,409911,0.5062
Firecracker,Ice Spirit,397848,0.5362
Bomb Tower,The Log,394544,0.5156
Earthquake,Ice Spirit,389875,0.5355
Barbarian Barrel,Tornado,385928,0.5436
Knight,The Log,374930,0.4976
Hog Rider,Skeleton,346071,0.5121
Goblins,The Log,340913,0.54
Knight,Poison,337072,0.5257
Ice Spirit,Skeleton,333637,0.5103
Graveyard,Tornado,316490,0.542
Baby Dragon,Tornado,307052,0.541
Graveyard,Knight,302370,0.5418
Goblins,Hog Rider,299121,0.5411
Mini P.E.K.K.A,Rage,293469,0.5359
Barbarian Barrel,Knight,285972,0.5469
Goblins,Ice Spirit,281916,0.5422
Goblin Giant,Rage,280497,0.5398
Poison,Tornado,273046,0.5373
Ice Wizard,Tornado,271208,0.5426
Barbarian Barrel,Graveyard,270272,0.547
Goblin Giant,Mini P.E.K.K.A,268928,0.5404
Graveyard,Ice Wizard,265823,0.5429
Firecracker,Goblins,265225,0.5477
Goblin Giant,Sparky,262328,0.5387
Barbarian Barrel,Tombstone,261772,0.5482
Baby Dragon,Graveyard,259085,0.5438
Baby Dragon,Ice Wizard,255514,0.5435
Ice Wizard,Knight,253725,0.5437
Barbarian Barrel,Poison,253461,0.5454
Earthquake,Goblins,253439,0.5465
Rage,Sparky,253328,0.5392
Baby Dragon,Barbarian Barrel,252706,0.5465
Baby Dragon,Knight,251956,0.5437
Graveyard,Poison,246945,0.5472
Mini P.E.K.K.A,Sparky,243182,0.5394
Arrows,Rage,241775,0.5315
Knight,Rage,241025,0.5381
Bomb Tower,Ice Spirit,236484,0.5464
Tombstone,Tornado,235887,0.5487
Mighty Miner,The Log,235570,0.552
Knight,Mini P.E.K.K.A,232861,0.5383
Firecracker,Mighty Miner,231155,0.5527
Graveyard,Tombstone,230778,0.5502
Arrows,Mini P.E.K.K.A,230553,0.5239
Hog Rider,Mighty Miner,229956,0.554
Poison,Tombstone,229603,0.549
Barbarian Barrel,Ice Wizard,229355,0.5483
Ice Wizard,Poison,229230,0.5478
Fireball,The Log,227717,0.5143
Ice Spirit,Mighty Miner,227598,0.554
Goblin Giant,Knight,227228,0.5385
Bomb Tower,Firecracker,226179,0.5519
Earthquake,Mighty Miner,225151,0.5552
Baby Dragon,Poison,222714,0.5484
Bomb Tower,Hog Rider,221072,0.5539
Ice Spirit,Knight,219705,0.5076
Knight,Tombstone,218297,0.5518
Hog Rider,Knight,217614,0.5108
Baby Dragon,Tombstone,217088,0.5481
Ice Wizard,Tombstone,213442,0.5499
Bomb Tower,Earthquake,211305,0.5536
Mini P.E.K.K.A,Zap,210863,0.5268
Knight,Sparky,207510,0.5378
Fireball,Hog Rider,203653,0.5088
Bomb Tower,Mighty Miner,198633,0.5558
Bomb Tower,Miner,197337,0.4711
Musketeer,The Log,197278,0.5121
Firecracker,Skeleton,195055,0.5155
Miner,The Log,190741,0.4697
Fireball,Skeleton,190318,0.5117
Hog Rider,Musketeer,187455,0.5102
Bomb Tower,Goblins,185803,0.5544
Earthquake,Skeleton,184684,0.5138
Arrows,Zap,184504,0.524
Goblins,Mighty Miner,183650,0.5583
Tesla,The Log,181078,0.5121
Cannon,The Log,178261,0.5062
Miner,Wall Breakers,177057,0.4712
Musketeer,Skeleton,174269,0.5078
Cannon,Hog Rider,174002,0.5084
Rage,Zap,173542,0.5338
Hog Rider,Tesla,173399,0.5123
Fireball,Musketeer,173014,0.5091
Cannon,Skeleton,172758,0.5075
Fireball,Mother Witch,171804,0.5399
Ice Golem,Skeleton,170862,0.5072
The Log,Wall Breakers,168758,0.4722
Ice Spirit,Musketeer,168382,0.51
Fireball,Knight,166325,0.5301
Bomb Tower,Knight,164708,0.4814
Ice Golem,Musketeer,164348,0.5067
Firecracker,Tesla,164206,0.5141
Firecracker,Knight,164164,0.5159
Bomb Tower,Wall Breakers,163366,0.4687
Fireball,Ice Spirit,162862,0.5089
Ice Golem,The Log,160359,0.5076
Sparky,Zap,159914,0.535
Arrows,Fireball,159656,0.5335
Hog Rider,Ice Golem,159646,0.5071
Cannon,Fireball,159206,0.5069
Cannon,Ice Spirit,158611,0.5071
Fireball,Rage,158137,0.538
Mini P.E.K.K.A,Minion,156575,0.5381
Cannon,Musketeer,155631,0.5073
Fireball,Mini P.E.K.K.A,154018,0.5322
Goblin Giant,Zap,153573,0.537
Earthquake,Knight,152344,0.511
Inferno Dragon,Tornado,151750,0.5298
Goblins,Knight,151267,0.5178
Earthquake,Tesla,150574,0.5138
The Log,Tornado,150358,0.4651
Knight,Miner,148457,0.4734
Ice Golem,Ice Spirit,148186,0.5066
Knight,Tesla,147056,0.5096
Arrows,Flying Machine,145989,0.5366
Fireball,Ice Golem,145872,0.5059
Barbarian Barrel,Fireball,145525,0.5431
Arrows,Knight,143951,0.5302
Ice Spirit,Tesla,143776,0.509
Cannon,Ice Golem,142426,0.5053
Arrows,Sparky,141582,0.5351
Arrows,Night Witch,141045,0.5278
Minion,Rage,140043,0.54
Freeze,Tornado,139790,0.5331
Freeze,Inferno Dragon,137244,0.5328
Bat,The Log,136323,0.4884
Mega Minion,Mini P.E.K.K.A,134240,0.5339
Mega Minion,Zap,133050,0.5334
Arrows,Goblin Giant,132519,0.538
Bowler,Tornado,132453,0.5296
Knight,Zap,132424,0.5338
Fireball,Zappies,132374,0.5406
Mini P.E.K.K.A,Mother Witch,132334,0.5406
Miner,Spear Goblin,132259,0.4746
Fireball,Minion,132256,0.533
Flying Machine,Royal Recruits,131931,0.535
Firecracker,Mega Knight,131809,0.5049
Knight,Minion,131757,0.5369
Mother Witch,Rage,131642,0.5413
Spear Goblin,Wall Breakers,131047,0.4741
Bomb Tower,Spear Goblin,130712,0.4739
Goblin Giant,Minion,130476,0.5445
Arrows,Barbarian,130054,0.5357
Spear Goblin,The Log,129868,0.4755
Arrows,Royal Recruits,129718,0.5353
Poison,The Log,128676,0.4779
Executioner,Tornado,128556,0.509
Arrows,Firecracker,127845,0.5083
Mega Minion,Rage,126713,0.5373
Arrows,Mega Minion,126486,0.5318
Goblin Giant,Mother Witch,125663,0.5442
Bat,Wall Breakers,125503,0.4916
Skeleton,Tesla,125406,0.5066
Knight,Skeleton,124622,0.5074
Barbarian Barrel,Zappies,123252,0.5415
Firecracker,Mini P.E.K.K.A,122717,0.5076
Goblin Giant,Mega Minion,122462,0.5381
Arrows,Mega Knight,122081,0.5047
Miner,Poison,121632,0.4736
Knight,Wall Breakers,121458,0.4728
Knight,Spear Goblin,121236,0.4725
Mega Minion,Sparky,118548,0.5375
Bat,Miner,118284,0.485
Bomb Tower,Poison,117548,0.4754
Fireball,Goblin Giant,116403,0.5406
Royal Hogs,Zappies,114221,0.5366
Arrows,Zappies,114131,0.5359
Flying Machine,Royal Hogs,112236,0.5363
Knight,Mother Witch,112198,0.5431
Minion,Sparky,111681,0.5441
Flying Machine,Zappies,111090,0.5368
Minion,Mother Witch,110884,0.5455
Knight,Mega Minion,110575,0.5339
Fireball,Flying Machine,110426,0.5394
Royal Hogs,Royal Recruits,109955,0.5366
Arrows,Elixir Golem,109396,0.5244
Arrows,Royal Hogs,109221,0.5353
Bowler,Inferno Dragon,109085,0.5322
Electro Wizard,Zap,106769,0.5123
Royal Recruits,Zappies,106485,0.5372
Bowler,Freeze,105411,0.5322
Barbarian Barrel,Flying Machine,104728,0.5375
Fireball,Royal Recruits,104110,0.5398
Fisherman,Royal Giant,103956,0.5443
Mother Witch,Sparky,103565,0.544
Barbarian Barrel,Royal Recruits,101121,0.5409
Elixir Golem,Rage,99357,0.5283
Arrows,Barbarian Barrel,98908,0.5405
Barbarian Barrel,Royal Hogs,98381,0.5403
Barbarian Barrel,Goblin Cage,98376,0.5402
Bandit,Royal Ghost,98187,0.5229
Fireball,Royal Hogs,97885,0.5381
Poison,Wall Breakers,97867,0.4768
Hog Rider,Valkyrie,97436,0.5074
Goblin Cage,Royal Hogs,97351,0.5401
Bat,Poison,97287,0.481
Bat,Bomb Tower,96968,0.4824
Fireball,Goblin Cage,96263,0.5389
Barbarian Barrel,Inferno Dragon,96194,0.5419
Poison,Spear Goblin,95917,0.4768
Goblin Cage,Royal Recruits,95867,0.5406
Fireball,Royal Giant,95750,0.5407
Goblin Cage,Zappies,95165,0.541
Firecracker,Zap,95003,0.5087
Fireball,Fisherman,94548,0.5451
Flying Machine,Goblin Cage,94125,0.5406
Bomb Tower,Tornado,93782,0.4597
Bat,Spear Goblin,93590,0.4822
Barbarian Barrel,Lumberjack,93459,0.5411
Balloon,Lumberjack,93355,0.5359
Night Witch,Rage,92948,0.5328
Elixir Golem,Night Witch,92691,0.5285
Lumberjack,Tornado,92684,0.5435
Bomb Tower,Skeleton,92010,0.5019
Goblins,Tornado,91771,0.4988
Fireball,Sparky,91355,0.5401
Fireball,Zap,91150,0.5128
Bandit,Battle Ram,90357,0.5237
Barbarian Barrel,Freeze,90015,0.5438
Executioner,Knight,89880,0.5083
Bat,Knight,88959,0.4806
Arrows,Goblin Cage,88276,0.5413
Electro Dragon,Tornado,87325,0.5371
Balloon,Inferno Dragon,87269,0.5335
Arrows,Valkyrie,87034,0.5041
Balloon,Barbarian Barrel,86880,0.5383
Electro Wizard,P.E.K.K.A,86714,0.4984
Hog Rider,Mini P.E.K.K.A,84321,0.5087
Firecracker,Valkyrie,84133,0.5024
Miner,Tornado,83136,0.4515
Battle Ram,Royal Ghost,82974,0.5236
Barbarian Barrel,Bowler,82868,0.5403
Arrows,Lightning,81531,0.5085
Bat,Firecracker,81263,0.5031
Inferno Dragon,Knight,81137,0.5159
Ice Spirit,Tornado,80761,0.4874
Arrows,Electro Wizard,80741,0.5158
Mega Knight,Zap,80641,0.5091
Freeze,Graveyard,80636,0.5207
Balloon,Tornado,80440,0.5356
The Log,Valkyrie,79002,0.4838
Lightning,Tornado,77917,0.5131
Graveyard,Inferno Dragon,77718,0.5215
Hog Rider,Tornado,76543,0.487
Mega Knight,Mini P.E.K.K.A,76534,0.5026
Balloon,Freeze,76341,0.5404
Electro Spirit,The Log,76255,0.5194
P.E.K.K.A,Zap,75141,0.4977
Hog Rider,Mega Knight,75077,0.5092
Bandit,Zap,74983,0.5066
Arrows,Inferno Dragon,74380,0.5071
Bat,Mega Knight,73114,0.5094
