Type,Unit,Level,Range,Radius,Hit Speed (sec),Hitpoints,Damage,DPS,Crown Tower Damage,Charge Damage,Stage1 Damage,Stage2 Damage,Stage3 Damage (Max),Shield Hitpoints,Death Damage,Heal (per hit),Heal per Second,Enchanted Damage,Pellet Count,Spawn Damage,Jump Damage,Shard Count,Building Damage,Dash Damage,Zap Pack Damage,Zap Pack DPS,Hit Count,Damage (2-4 targets),Crown Tower Damage (2-4 targets),Damage (5+ targets),Crown Tower Damage (5+ targets),Area Damage,Combo Damage,Air Form DPS,Ground Form DPS
Tower Troop,Tower Princess,1,7.5,,0.8,1400,50,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Troop,Tower Princess,2,7.5,,0.8,1512,54,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Troop,Tower Princess,3,7.5,,0.8,1624,58,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Troop,Tower Princess,4,7.5,,0.8,1750,62,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Troop,Tower Princess,5,7.5,,0.8,1890,67,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Troop,Tower Princess,6,7.5,,0.8,2030,72,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Troop,Tower Princess,7,7.5,,0.8,2184,78,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Troop,Tower Princess,8,7.5,,0.8,2352,84,105,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Troop,Tower Princess,9,7.5,,0.8,2534,90,112,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Troop,Tower Princess,10,7.5,,0.8,2786,99,123,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Troop,Tower Princess,11,7.5,,0.8,3052,109,136,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Troop,Tower Princess,12,7.5,,0.8,3346,119,148,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Troop,Tower Princess,13,7.5,,0.8,3668,131,163,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Troop,Tower Princess,14,7.5,,0.8,4032,144,180,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Troop,Tower Princess,15,7.5,,0.8,4424,158,197,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Troop,Tower Princess,16,7.5,,0.8,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Troop,Tower Princess,17,7.5,,0.8,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Troop,Tower Princess,18,7.5,,0.8,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Knight,1,Melee,,1.2,690,79,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Knight,2,Melee,,1.2,759,86,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Knight,3,Melee,,1.2,834,95,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Knight,4,Melee,,1.2,917,105,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Knight,5,Melee,,1.2,1007,115,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Knight,6,Melee,,1.2,1104,126,105,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Knight,7,Melee,,1.2,1214,139,115,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Knight,8,Melee,,1.2,1331,152,126,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Knight,9,Melee,,1.2,1462,167,139,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Knight,10,Melee,,1.2,1607,184,153,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Knight,11,Melee,,1.2,1766,202,168,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Knight,12,Melee,,1.2,1938,221,184,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Knight,13,Melee,,1.2,2132,244,203,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Knight,14,Melee,,1.2,2339,267,222,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Knight,15,Melee,,1.2,2566,293,244,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Knight,16,Melee,,1.2,2822,323,269,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Knight,17,Melee,,1.2,3105,355,295,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Knight,18,Melee,,1.2,3415,391,325,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Archer,1,5,,0.9,119,44,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Archer,2,5,,0.9,130,48,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Archer,3,5,,0.9,143,53,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Archer,4,5,,0.9,158,58,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Archer,5,5,,0.9,173,64,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Archer,6,5,,0.9,190,70,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Archer,7,5,,0.9,209,77,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Archer,8,5,,0.9,229,84,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Archer,9,5,,0.9,252,93,103,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Archer,10,5,,0.9,277,102,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Archer,11,5,,0.9,304,112,124,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Archer,12,5,,0.9,334,123,136,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Archer,13,5,,0.9,367,135,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Archer,14,5,,0.9,403,149,165,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Archer,15,5,,0.9,442,163,181,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Archer,16,5,,0.9,486,179,198,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Archer,17,5,,0.9,535,198,220,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Archer,18,5,,0.9,589,217,241,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Giant,1,Melee,,1.5,1550,99,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Giant,2,Melee,,1.5,1705,108,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Giant,3,Melee,,1.5,1875,119,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Giant,4,Melee,,1.5,2061,131,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Giant,5,Melee,,1.5,2263,144,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Giant,6,Melee,,1.5,2480,158,105,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Giant,7,Melee,,1.5,2728,174,116,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Giant,8,Melee,,1.5,2991,191,127,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Giant,9,Melee,,1.5,3286,209,139,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Giant,10,Melee,,1.5,3611,230,153,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Giant,11,Melee,,1.5,3968,253,168,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Giant,12,Melee,,1.5,4355,278,185,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Giant,13,Melee,,1.5,4789,305,203,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Giant,14,Melee,,1.5,5254,335,223,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Giant,15,Melee,,1.5,5766,368,245,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Giant,16,Melee,,1.5,6339,404,269,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Giant,17,Melee,,1.5,6975,445,296,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Giant,18,Melee,,1.5,7672,490,326,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Minion,1,2.5,,1.2,90,42,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Minion,2,2.5,,1.2,99,46,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Minion,3,2.5,,1.2,108,50,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Minion,4,2.5,,1.2,119,55,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Minion,5,2.5,,1.2,131,61,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Minion,6,2.5,,1.2,144,67,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Minion,7,2.5,,1.2,158,73,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Minion,8,2.5,,1.2,173,81,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Minion,9,2.5,,1.2,190,89,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Minion,10,2.5,,1.2,209,97,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
