cluster,deck_count,total_frequency,win_rate,avg_elixir,representative_cards,example_deck
0,1880,956429,0.508,3.0,Fireball;Arrows;The Log;Zap;Firecracker;Knight;Valkyrie;Skeleton Army,Arrows;Elixir Collector;Firecracker;Knight;Musketeer;Royal Giant;Valkyrie;Zap
2,424,433391,0.5289,2.88,Hog Rider;The Log;Ice Spirit;Earthquake;Firecracker;Goblins;Mighty Miner;Bomb Tower,Bomb Tower;Earthquake;Firecracker;Goblins;Hog Rider;Ice Spirit;Mighty Miner;The Log
7,774,397241,0.5048,3.38,Mega Knight;Firecracker;Bat;Zap;Goblin Gang;Arrows;Skeleton Barrel;Inferno Dragon,Bat;Firecracker;Goblin Gang;Inferno Dragon;Mega Knight;Miner;Skeleton Barrel;Zap
4,242,285470,0.5423,3.38,Tornado;Graveyard;Knight;Barbarian Barrel;Ice Wizard;Baby Dragon;Poison;Tombstone,Baby Dragon;Barbarian Barrel;Graveyard;Ice Wizard;Knight;Poison;Tombstone;Tornado
12,219,246308,0.5475,4.38,Tornado;Barbarian Barrel;Lumberjack;Electro Dragon;Golem;Elixir Collector;Skeleton Dragons;Knight,Barbarian Barrel;Electro Dragon;Elixir Collector;Golem;Knight;Lumberjack;Skeleton Dragons;Tornado
1,181,187984,0.5459,3.75,Rage;Night Witch;Elixir Golem;Arrows;Skeleton King;Barbarian;Elixir Collector;Goblin Gang,Arrows;Barbarian;Elixir Collector;Elixir Golem;Goblin Gang;Night Witch;Rage;Skeleton King
13,150,181939,0.4673,2.75,Miner;Bomb Tower;The Log;Wall Breakers;Knight;Spear Goblin;Poison;Bat,Bat;Bomb Tower;Knight;Miner;Poison;Spear Goblin;The Log;Wall Breakers
5,134,166749,0.5442,3.62,Goblin Giant;Rage;Mini P.E.K.K.A;Arrows;Sparky;Zap;Mega Minion;Knight,Arrows;Goblin Giant;Knight;Mega Minion;Mini P.E.K.K.A;Rage;Sparky;Zap
8,206,161437,0.5361,4.12,Fireball;Zappies;Barbarian Barrel;Royal Recruits;Royal Hogs;Flying Machine;Arrows;Goblin Cage,Arrows;Barbarian Barrel;Fireball;Flying Machine;Goblin Cage;Royal Hogs;Royal Recruits;Zappies
10,188,154828,0.5409,4.38,Lava Hound;Barbarian;Skeleton Dragons;Arrows;Balloon;Inferno Dragon;Fireball;Tombstone,Arrows;Balloon;Barbarian;Fireball;Inferno Dragon;Lava Hound;Skeleton Dragons;Tombstone
6,218,154326,0.5067,3.25,The Log;Goblin Barrel;Princess;Knight;Goblin Gang;Rocket;Ice Spirit;Inferno Tower,Goblin Barrel;Goblin Gang;Ice Spirit;Inferno Tower;Knight;Princess;Rocket;The Log
9,99,152289,0.547,3.38,Royal Recruits;Wall Breakers;Goblin Gang;Skeleton Barrel;Mighty Miner;Goblins;Arrows;Firecracker,Arrows;Firecracker;Goblin Gang;Goblins;Mighty Miner;Royal Recruits;Skeleton Barrel;Wall Breakers
3,190,125993,0.5086,2.62,Hog Rider;The Log;Fireball;Skeleton;Cannon;Ice Spirit;Musketeer;Ice Golem,Cannon;Fireball;Hog Rider;Ice Golem;Ice Spirit;Musketeer;Skeleton;The Log
11,95,119885,0.5456,4.0,Goblin Giant;Rage;Mini P.E.K.K.A;Minion;Knight;Mother Witch;Fireball;Sparky,Fireball;Goblin Giant;Knight;Mini P.E.K.K.A;Minion;Mother Witch;Rage;Sparky
