player_tag,final_elo,last_observed_trophies,matches_played
PGRYRU90,1106.5,8500,2688
9PGCJV999,1053.9,8582,2454
8R8QGQRV,1098.7,8500,2405
2QJ9RYJCV,1009.8,8523,2242
U2YJGV8L,848.5,8500,1883
8QVV9JL8,1123.5,9000,1854
Y9809Q8Q2,1245.2,8614,1846
9LGVUVUQQ,1027.0,9000,1691
2VRRCQPVG,1314.2,8849,1658
80028UQ8C,1192.9,8621,1658
82UVRQRVL,1222.5,8615,1657
2CUL8C2Q,1254.5,9000,1593
88289GV8V,709.4,9000,1546
J8QVPPVV,1050.1,8500,1502
9R8UYUURV,1299.6,8756,1461
LJ2L0JG,1172.3,9000,1458
8GVGCVY28,1092.9,8530,1442
2CPCRPC2L,1099.6,9000,1429
Y8G0RRV2U,1112.0,9000,1426
8CYRPPQ0P,1345.8,8856,1421
2LLV8ULU,1274.3,9000,1405
CL0LV998,1234.8,8584,1385
8Q98VYJ22,1150.5,8532,1373
9JV8GVJJQ,1089.9,8576,1365
9CVRC0Y20,1294.4,8776,1356
U0LJJJJYG,1108.1,8530,1307
9JPYP9PYY,1068.4,8521,1307
PJ2CPG0R,1205.7,9000,1296
90U8JJPQ0,1326.5,8819,1289
L2QGU20GV,1328.6,9000,1278
2V2G2VQRV,1072.4,8526,1274
YYU0LPU8R,1196.0,8524,1239
L8RPJGCCP,1061.1,8617,1238
UCPU8RC88,1124.1,9000,1235
PLU2PLQLV,1260.1,8681,1227
LCU2LRQJR,1212.7,8736,1218
9VGCU2Q8V,1196.2,8500,1201
8YLQQPGRY,1010.5,8562,1198
80J8PJGYJ,1202.8,9000,1197
2P2P80YQG,1206.0,8738,1187
20C8CPR2Y,1233.6,8570,1181
P2G8JLLLG,1297.0,8532,1177
8RC9G09QR,1031.7,8500,1173
GRVG2JJGQ,1074.6,8614,1168
9QQUUVLJ,1167.0,8709,1162
2892Y299Y,1057.5,8502,1161
8U8U2Y2VQ,1128.1,8500,1157
2LRLQP2GQ,1313.2,8753,1152
LPQ2J2RYC,1196.8,8646,1152
VPLRGCCJ,1176.8,8561,1143
2VPPL8YGR,1105.6,8533,1136
QLYQ02JL,1017.0,8500,1130
9J2GPQ9YC,1163.7,9000,1130
8PV9V8CP,1083.6,8852,1116
J8U0PG0P,1412.1,9000,1109
8UQLJ02UL,1015.2,8573,1107
2QYV8U0C,1157.9,8721,1106
28YQR89J,1219.6,9000,1105
9U9Q8YGQV,1127.3,8530,1102
8C2P00Y8,1228.9,8491,1094
2JPLV8YV0,1238.6,9000,1091
9P0PG2VU,1078.1,8503,1089
QLJ2UG8CY,1177.9,8653,1078
P8GLPG8R,1132.5,8530,1075
UC02V90VV,1131.3,8500,1074
PL2PL08RL,1130.7,8832,1064
8QRY9JYP,1270.6,8555,1059
L9UYPRP,1310.0,9000,1057
9L0VVV2R,1249.0,9000,1054
GRJCRVV,1169.6,9000,1051
PVLC29LCR,1145.1,8564,1050
LQJLCRUJG,1046.5,8530,1050
YRPUPYQ2,1160.2,8500,1047
LQUU00J,1150.8,8530,1047
RGYG82RR,1231.1,9000,1043
9PG0JJVJ,1162.6,8876,1028
JUL2V2VQ,1217.5,8536,1027
LPGQJRCG,1205.3,9000,1027
QVR8V00,1352.7,9000,1017
PCUVGYQL,1162.1,8560,1014
820YLP8U,1231.5,8612,1014
2GYY98GVU,1172.4,9000,1013
8Y89QPVJ,1033.6,8500,1013
QGPVGUPU,1145.6,8823,1010
PGQ0RRJ9,1070.5,8500,1010
8VQPUVYGC,1162.1,8537,1007
GQ2YGRP0R,1154.7,8623,1005
8GLQGGR0,1171.5,8558,1004
809RL0YYQ,1227.7,9000,1002
9QY2QUQ8R,1285.2,9000,995
2VVRRPYPR,1266.2,8680,994
9CU2L280,1175.4,9000,993
P8U9R899Y,1226.6,8624,988
2R99J90RG,1293.2,8730,988
YPJRRCG8V,1254.4,9000,985
PUY2RGURP,1128.7,8503,984
PJ2V8L8R8,1138.5,8587,984
R29Y0R2PP,1244.1,8798,983
U8YJCGU2,1142.0,8616,981
PGJ8JQJC2,954.6,8725,980
9QLJRC0Q,1166.1,8500,976
JJG0QQC90,1192.8,8551,973
2RY289P28,1189.4,8656,972
2V0UPRLUJ,1038.8,8532,971
9CJL9VCU,1143.2,8534,971
2RP8QJ02,1107.8,8530,966
VRLUUQ8LC,1345.6,9000,965
2QV229VYV,1134.9,8564,964
8UUQVQV2L,1268.6,8554,958
PQLUQYQR,1275.4,8730,955
LY9R2JL8P,1144.3,8556,955
8L9VRUQL,1048.7,8500,953
8UG8GP9Q,1339.5,9000,953
99CY99VY8,1463.7,9000,952
9JVCUYR2,1095.8,8532,950
UQ99RVV,1142.3,8582,949
CPGUGC2,1246.1,9000,948
JLU2L8PQ,1143.7,8585,948
YVLGJP0CJ,1131.4,8576,947
2URU20PYV,1059.3,8606,946
VJ2VLUGG2,1035.4,8209,944
PUV890QGQ,1320.6,8789,944
92CPG9J88,1305.3,8704,943
CCLJ0JV89,1190.6,8578,939
22PLY09VR,1232.1,8638,936
G9Y2GVPG,1264.8,8729,936
90YJ8YY0,1243.3,8606,935
PP028QR2Q,1196.9,8856,932
2RV2GQ8G8,1194.2,8532,932
YCCV0LLC8,1225.6,8633,931
RGLJ8JPQ2,1144.2,9000,930
ULPGLU8JU,1206.9,8582,927
L88LRJCPV,1059.1,8530,925
PUY9Q82JU,1064.4,8500,924
Y8YQCV20G,1225.5,9000,923
2CVU0LPQ8,1172.0,8657,923
JYLLQP8J,1154.7,9000,922
2Q9J8JPV0,1281.3,8535,921
2JP0LJC2,1165.4,8620,917
9C2GYJ9Y,1215.3,8513,917
8Y20UG0VJ,1114.6,8593,917
892V8YQL,1302.7,8809,916
Q2292VUG,1133.2,8634,916
2CUGYY9YR,1347.4,9000,915
90CJPJJQJ,1105.9,8691,914
Y0CVR8P0,1198.6,8530,914
UCRY9JVUG,1156.0,8500,913
YRQGUPRLU,1266.7,9000,913
8YLPUL2J,1258.7,9000,907
JQ8U9GQL9,1126.2,8508,907
8ULUURR2,1184.7,9000,905
G0YUVRVR,1274.4,8707,904
CQ2RVLLUG,1293.9,8728,904
UJYPJJPY,1230.2,8500,903
202CGJC8L,1297.4,8700,903
90L2QJC0,1265.7,9000,902
2LGGYU2GV,1126.5,8560,900
V8CUG9JV,1088.7,8503,900
